["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9186717312000000e+014 1.1852164365654531e-001 1.0918147819077898e+001
1.9199208664416666e+014 1.1796123810484418e-001 1.1200411001572705e+001
1.9211700016833334e+014 1.1740357566747758e-001 1.1482649774693309e+001
1.9224191369250000e+014 1.1684875608878922e-001 1.1764864162873401e+001
1.9236682721666666e+014 1.1629682130039229e-001 1.2047054866051315e+001
1.9249174074083334e+014 1.1574771384670819e-001 1.2329222795158152e+001
1.9261665426500000e+014 1.1520128707718434e-001 1.2611368472458841e+001
1.9274156778916666e+014 1.1465734071936728e-001 1.2893491496249528e+001
1.9286648131333334e+014 1.1411570078111609e-001 1.3175590282070297e+001
1.9299139483750000e+014 1.1357630526652952e-001 1.3457662237433722e+001
1.9311630836166666e+014 1.1303926880881407e-001 1.3739704379588117e+001
1.9324122188583331e+014 1.1250489968996566e-001 1.4021714258965968e+001
1.9336613541000000e+014 1.1197365531415723e-001 1.4303690927584592e+001
1.9349104893416666e+014 1.1144604076341547e-001 1.4585635640332796e+001
1.9361596245833331e+014 1.1092247402681288e-001 1.4867552022001778e+001
1.9374087598250000e+014 1.1040314965944098e-001 1.5149445553991582e+001
1.9386578950666666e+014 1.0988796393492954e-001 1.5431322523270799e+001
1.9399070303083331e+014 1.0937648884134764e-001 1.5713188494505477e+001
1.9411561655500000e+014 1.0886804694001186e-001 1.5995046904225099e+001
1.9424053007916666e+014 1.0836185440828486e-001 1.6276898065617413e+001
1.9436544360333331e+014 1.0785720137679282e-001 1.6558738920617429e+001
1.9449035712750000e+014 1.0735362198735134e-001 1.6840563655546223e+001
1.9461527065166666e+014 1.0685100720936408e-001 1.7122365055017539e+001
1.9474018417583331e+014 1.0634962797318083e-001 1.7404136252140631e+001
1.9486509770000000e+014 1.0585006075213749e-001 1.7685872408363217e+001
1.9499001122416666e+014 1.0535302604111063e-001 1.7967571833501129e+001
1.9511492474833331e+014 1.0485922829359705e-001 1.8249236399286605e+001
1.9523983827250000e+014 1.0436915228851355e-001 1.8530870816034835e+001
1.9536475179666666e+014 1.0388296275945770e-001 1.8812481310531094e+001
1.9548966532083331e+014 1.0340048415078024e-001 1.9094073925078469e+001
1.9561457884500000e+014 1.0292127273484292e-001 1.9375652952932569e+001
1.9573949236916666e+014 1.0244475662982580e-001 1.9657219942712754e+001
1.9586440589333331e+014 1.0197040069654234e-001 1.9938773528308499e+001
1.9598931941750000e+014 1.0149784782680479e-001 2.0220310092506374e+001
